epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5437,1.29275,2.81331,1.50365,0.67413,0.51214,0.55085,0.38914,1.01037,1.50893,1.30236,0.000363836,0.000363836,0.000363836
2,26.3287,1.1239,1.38777,1.31152,0.86236,0.42248,0.50971,0.31536,1.21644,2.01553,1.56335,0.000730535,0.000730535,0.000730535
3,39.0084,1.074,1.18704,1.2434,0.85037,0.40614,0.48575,0.35369,1.0753,1.56341,1.41933,0.00109357,0.00109357,0.00109357
4,51.6952,1.08085,1.16351,1.27669,0.83188,0.44675,0.55423,0.39392,1.0572,1.99819,1.39671,0.0010945,0.0010945,0.0010945
5,64.4533,1.07113,1.09421,1.25167,0.66392,0.68484,0.70144,0.51401,1.01906,1.44923,1.34036,0.001089,0.001089,0.001089
6,77.2179,1.07435,1.00012,1.25348,0.72503,0.66641,0.75227,0.55192,1.1764,1.15543,1.49293,0.0010835,0.0010835,0.0010835
7,89.9704,1.02125,0.94284,1.21576,0.64448,0.65484,0.76029,0.59485,0.92442,1.16963,1.23331,0.001078,0.001078,0.001078
8,102.775,1.03284,0.91317,1.22118,0.71615,0.77164,0.78909,0.59818,0.95209,0.71283,1.26132,0.0010725,0.0010725,0.0010725
9,115.528,0.99604,0.89043,1.20771,0.56987,0.63089,0.6625,0.50086,0.95195,0.79998,1.24997,0.001067,0.001067,0.001067
10,128.245,1.00348,0.88289,1.20536,0.61651,0.74256,0.81478,0.63037,0.93803,0.85083,1.23262,0.0010615,0.0010615,0.0010615
11,141.044,0.98806,0.84337,1.20327,0.64361,0.82337,0.8122,0.60442,0.99293,0.71467,1.27576,0.00105601,0.00105601,0.00105601
12,153.766,0.96729,0.79802,1.18729,0.77989,0.80908,0.84211,0.65188,0.94202,0.67071,1.22853,0.00105051,0.00105051,0.00105051
13,166.623,0.96825,0.8055,1.16826,0.73734,0.73674,0.80515,0.61265,0.98018,0.85709,1.24072,0.00104501,0.00104501,0.00104501
14,179.35,0.94396,0.78939,1.17102,0.78176,0.8326,0.84968,0.64949,0.97903,0.77091,1.25234,0.00103951,0.00103951,0.00103951
15,192.083,0.95949,0.77531,1.17302,0.89617,0.87284,0.94596,0.74342,0.94627,0.62577,1.25274,0.00103401,0.00103401,0.00103401
16,204.885,0.95495,0.75777,1.18042,0.82472,0.70697,0.82586,0.64669,0.91348,0.64445,1.23582,0.00102851,0.00102851,0.00102851
