Class,Precision,Recall,F1-Score,mAP50
Basophils,1.0,0.9913,0.9956,0.995
Eosinophils,0.8828,0.9271,0.9044,0.9445
Lymphocytes,0.96,0.9905,0.975,0.9819
Monocytes,0.9102,0.8846,0.8972,0.9344
Neutrophils,0.8868,0.9274,0.9066,0.9704
