epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,516.62,0.8491,0.56942,1.10883,0.94102,0.90781,0.94058,0.77952,0.82395,0.45814,1.12663,0.000660045,0.000660045,0.000660045
43,528.949,0.81621,0.56264,1.10197,0.94866,0.85878,0.95266,0.79575,0.80314,0.47207,1.12941,0.000649046,0.000649046,0.000649046
44,541.357,0.82433,0.55121,1.09049,0.94904,0.88177,0.94304,0.78276,0.81627,0.44593,1.12714,0.000638047,0.000638047,0.000638047
45,553.662,0.81173,0.54728,1.08446,0.91006,0.8961,0.95489,0.79831,0.82225,0.46116,1.13778,0.000627048,0.000627048,0.000627048
46,566.053,0.8145,0.55716,1.09216,0.91587,0.84591,0.92036,0.75134,0.85957,0.49189,1.16029,0.000616049,0.000616049,0.000616049
47,578.378,0.81026,0.54379,1.0981,0.9287,0.8984,0.94803,0.78693,0.80797,0.44442,1.13437,0.000605051,0.000605051,0.000605051
48,590.673,0.81772,0.52564,1.09627,0.91983,0.91961,0.9592,0.79871,0.83185,0.44758,1.14012,0.000594052,0.000594052,0.000594052
49,603.038,0.79488,0.50055,1.07518,0.87242,0.87238,0.94167,0.78462,0.81287,0.45901,1.1311,0.000583053,0.000583053,0.000583053
50,615.353,0.77277,0.49758,1.0762,0.90407,0.87247,0.94941,0.80122,0.815,0.45698,1.1248,0.000572054,0.000572054,0.000572054
51,627.728,0.7901,0.52031,1.08408,0.92568,0.92765,0.95842,0.79357,0.81221,0.43689,1.12543,0.000561055,0.000561055,0.000561055
52,640.024,0.77313,0.51015,1.08074,0.88289,0.90863,0.94434,0.78711,0.81566,0.43728,1.1448,0.000550056,0.000550056,0.000550056
53,652.401,0.78424,0.51786,1.07869,0.94039,0.87737,0.93026,0.78565,0.81375,0.47043,1.14178,0.000539057,0.000539057,0.000539057
54,664.739,0.79669,0.52528,1.09582,0.934,0.89738,0.93693,0.78538,0.81209,0.45174,1.13832,0.000528058,0.000528058,0.000528058
55,677.041,0.77885,0.51103,1.07798,0.93796,0.89683,0.95147,0.79518,0.82249,0.44645,1.13873,0.000517059,0.000517059,0.000517059
56,689.342,0.77626,0.52671,1.09002,0.95615,0.88556,0.96125,0.79152,0.83303,0.44179,1.14157,0.00050606,0.00050606,0.00050606
57,701.657,0.75488,0.49266,1.07105,0.92452,0.86527,0.93771,0.79302,0.81196,0.44584,1.13298,0.000495062,0.000495062,0.000495062
58,713.965,0.79746,0.5099,1.09842,0.95664,0.92131,0.96405,0.80954,0.83097,0.41758,1.14921,0.000484063,0.000484063,0.000484063
59,726.328,0.74479,0.46483,1.0624,0.95816,0.8346,0.9282,0.78013,0.8303,0.47391,1.14119,0.000473064,0.000473064,0.000473064
60,738.628,0.75151,0.4846,1.07082,0.88467,0.95045,0.96363,0.81038,0.81329,0.44178,1.13746,0.000462065,0.000462065,0.000462065
61,750.953,0.7724,0.48701,1.08431,0.92541,0.90997,0.96362,0.79432,0.83343,0.42179,1.15181,0.000451066,0.000451066,0.000451066
62,763.328,0.75136,0.50989,1.07109,0.92887,0.90707,0.95353,0.79192,0.83303,0.43765,1.14626,0.000440067,0.000440067,0.000440067
63,775.616,0.7612,0.48978,1.06959,0.93923,0.88181,0.95331,0.80612,0.78851,0.43186,1.12796,0.000429068,0.000429068,0.000429068
64,787.918,0.75457,0.46552,1.07199,0.90936,0.93439,0.95622,0.80699,0.81416,0.42009,1.1383,0.000418069,0.000418069,0.000418069
65,800.235,0.74643,0.45572,1.06839,0.92672,0.89432,0.9503,0.79512,0.82423,0.42535,1.13451,0.00040707,0.00040707,0.00040707
66,812.536,0.72409,0.45131,1.04217,0.93598,0.88971,0.93985,0.79554,0.81525,0.45239,1.12393,0.000396071,0.000396071,0.000396071
67,824.908,0.74049,0.46217,1.06722,0.94751,0.89964,0.94332,0.79565,0.7938,0.43582,1.12779,0.000385073,0.000385073,0.000385073
68,837.214,0.74241,0.44815,1.06794,0.95143,0.90487,0.95143,0.80458,0.81518,0.43198,1.13505,0.000374074,0.000374074,0.000374074
69,849.523,0.70607,0.42441,1.04744,0.89498,0.89864,0.92839,0.79164,0.81674,0.45047,1.13066,0.000363075,0.000363075,0.000363075
70,861.865,0.73187,0.45079,1.05592,0.93726,0.91097,0.9426,0.78757,0.84736,0.4206,1.14795,0.000352076,0.000352076,0.000352076
71,874.201,0.73659,0.45825,1.06481,0.90748,0.90821,0.94,0.7925,0.80249,0.43826,1.12817,0.000341077,0.000341077,0.000341077
72,886.559,0.71286,0.46215,1.0521,0.91369,0.88362,0.94315,0.79798,0.82418,0.43929,1.14329,0.000330078,0.000330078,0.000330078
73,898.88,0.71567,0.43969,1.05189,0.93631,0.86572,0.9257,0.78489,0.79871,0.44702,1.12818,0.000319079,0.000319079,0.000319079
74,911.173,0.70443,0.4259,1.04563,0.95642,0.85881,0.94903,0.7986,0.82294,0.44712,1.14833,0.00030808,0.00030808,0.00030808
75,923.505,0.69474,0.42694,1.03181,0.94629,0.91314,0.94947,0.80513,0.79845,0.41294,1.13363,0.000297081,0.000297081,0.000297081
76,935.799,0.69916,0.43608,1.0501,0.93951,0.92113,0.95645,0.80457,0.80364,0.41464,1.13186,0.000286083,0.000286083,0.000286083
77,948.126,0.68576,0.41869,1.03592,0.96166,0.91908,0.95059,0.79686,0.83713,0.41305,1.15309,0.000275084,0.000275084,0.000275084
78,960.454,0.69998,0.43164,1.04665,0.94615,0.92013,0.9545,0.79307,0.82559,0.40077,1.15192,0.000264085,0.000264085,0.000264085
79,972.749,0.66286,0.41173,1.0333,0.94137,0.91975,0.94798,0.79276,0.82339,0.41836,1.14993,0.000253086,0.000253086,0.000253086
80,985.054,0.6677,0.40673,1.02583,0.93894,0.93049,0.95112,0.81119,0.79733,0.41278,1.13507,0.000242087,0.000242087,0.000242087
81,997.484,0.67096,0.39465,1.02961,0.94126,0.92069,0.95294,0.80556,0.81672,0.42479,1.13226,0.000231088,0.000231088,0.000231088
82,1009.78,0.67618,0.41273,1.03724,0.94982,0.89887,0.95055,0.81391,0.78877,0.41842,1.12387,0.000220089,0.000220089,0.000220089
83,1022.14,0.67428,0.40499,1.03229,0.9155,0.92067,0.94492,0.80643,0.78863,0.41398,1.12334,0.00020909,0.00020909,0.00020909
84,1034.45,0.64747,0.40171,1.02188,0.93836,0.87552,0.93097,0.79473,0.7985,0.44802,1.1313,0.000198091,0.000198091,0.000198091
85,1046.76,0.64979,0.40047,1.02427,0.928,0.93179,0.94993,0.80657,0.79407,0.42052,1.1326,0.000187092,0.000187092,0.000187092
86,1059.09,0.65066,0.38723,1.01979,0.9209,0.93729,0.95196,0.80958,0.80575,0.41524,1.13897,0.000176094,0.000176094,0.000176094
87,1071.38,0.64948,0.39434,1.02984,0.94196,0.93168,0.95218,0.81209,0.80003,0.41346,1.13927,0.000165095,0.000165095,0.000165095
88,1083.67,0.64334,0.38022,1.01359,0.89899,0.93843,0.95312,0.81004,0.81264,0.40814,1.15865,0.000154096,0.000154096,0.000154096
89,1096,0.62366,0.40215,1.01245,0.92804,0.92093,0.95918,0.82067,0.81049,0.4167,1.14578,0.000143097,0.000143097,0.000143097
90,1108.32,0.63981,0.38319,1.03054,0.93664,0.90483,0.94154,0.80816,0.79272,0.426,1.13505,0.000132098,0.000132098,0.000132098
91,1121.11,0.54461,0.29005,0.96975,0.93879,0.90959,0.94145,0.80133,0.79535,0.42627,1.14191,0.000121099,0.000121099,0.000121099
92,1133.39,0.53713,0.26912,0.96439,0.92753,0.91704,0.95034,0.81807,0.78767,0.42979,1.13525,0.0001101,0.0001101,0.0001101
93,1145.64,0.52575,0.25716,0.96666,0.9286,0.91034,0.94273,0.8101,0.79559,0.42042,1.13905,9.91012e-05,9.91012e-05,9.91012e-05
94,1157.9,0.51863,0.25503,0.96883,0.93572,0.91071,0.94441,0.809,0.81405,0.42184,1.14697,8.81023e-05,8.81023e-05,8.81023e-05
95,1170.15,0.50165,0.24545,0.94557,0.93423,0.93711,0.95415,0.82218,0.80141,0.41207,1.14623,7.71034e-05,7.71034e-05,7.71034e-05
96,1182.45,0.51052,0.25416,0.95412,0.93934,0.92981,0.95095,0.81977,0.792,0.41514,1.14423,6.61045e-05,6.61045e-05,6.61045e-05
97,1194.71,0.49765,0.23775,0.94177,0.93517,0.93383,0.94785,0.81168,0.80016,0.40822,1.14613,5.51056e-05,5.51056e-05,5.51056e-05
98,1206.98,0.4917,0.23631,0.93879,0.94158,0.91884,0.95037,0.81229,0.81097,0.41531,1.15578,4.41067e-05,4.41067e-05,4.41067e-05
99,1219.25,0.49244,0.24091,0.92547,0.94157,0.92236,0.94947,0.80993,0.80417,0.40957,1.15154,3.31078e-05,3.31078e-05,3.31078e-05
100,1231.52,0.47976,0.24124,0.9383,0.93963,0.92395,0.94787,0.80469,0.80453,0.41016,1.15213,2.21089e-05,2.21089e-05,2.21089e-05
