epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,508.002,0.67571,0.42547,1.02548,0.93968,0.88613,0.94002,0.79331,0.80001,0.45347,1.13125,8.0695e-05,8.0695e-05,8.0695e-05
41,520.72,0.67306,0.41452,1.03167,0.94638,0.88844,0.94539,0.79778,0.8173,0.46522,1.14505,8.02e-05,8.02e-05,8.02e-05
42,533.427,0.66546,0.40313,1.02295,0.96466,0.88727,0.96192,0.80447,0.82451,0.43571,1.14995,7.9705e-05,7.9705e-05,7.9705e-05
43,546.126,0.67785,0.42612,1.03087,0.9498,0.86855,0.94712,0.79871,0.82204,0.47584,1.1489,7.921e-05,7.921e-05,7.921e-05
44,558.831,0.66527,0.41731,1.02197,0.93631,0.91374,0.95794,0.80807,0.79856,0.44145,1.13335,7.8715e-05,7.8715e-05,7.8715e-05
45,571.527,0.65632,0.39369,1.02262,0.93401,0.89383,0.95086,0.80828,0.80108,0.43995,1.13431,7.822e-05,7.822e-05,7.822e-05
46,584.229,0.68056,0.41366,1.0316,0.92831,0.84545,0.94521,0.78715,0.85428,0.48832,1.16516,7.7725e-05,7.7725e-05,7.7725e-05
47,596.926,0.64598,0.4013,1.01942,0.9044,0.89058,0.93021,0.772,0.83815,0.48523,1.15036,7.723e-05,7.723e-05,7.723e-05
48,609.632,0.65341,0.40613,1.02045,0.91903,0.90364,0.95301,0.81211,0.79919,0.43039,1.14026,7.6735e-05,7.6735e-05,7.6735e-05
49,622.337,0.64467,0.39609,1.01073,0.92401,0.91425,0.95255,0.81355,0.79777,0.443,1.1339,7.624e-05,7.624e-05,7.624e-05
50,635.045,0.62912,0.38239,1.00718,0.92913,0.83442,0.94148,0.78549,0.8175,0.48499,1.15689,7.5745e-05,7.5745e-05,7.5745e-05
51,647.741,0.63141,0.39043,1.00423,0.93058,0.91445,0.93715,0.79052,0.79636,0.44699,1.13722,7.525e-05,7.525e-05,7.525e-05
52,660.462,0.63467,0.39876,1.01776,0.87781,0.91671,0.94176,0.79723,0.79859,0.46185,1.14921,7.4755e-05,7.4755e-05,7.4755e-05
53,673.165,0.61738,0.3811,1.00445,0.93285,0.83555,0.93063,0.79104,0.82648,0.46759,1.17714,7.426e-05,7.426e-05,7.426e-05
54,685.882,0.62326,0.39805,1.013,0.94295,0.85647,0.93436,0.79721,0.80845,0.44732,1.16511,7.3765e-05,7.3765e-05,7.3765e-05
55,698.559,0.62269,0.38546,1.01326,0.93153,0.90474,0.95057,0.79954,0.80131,0.43049,1.15101,7.327e-05,7.327e-05,7.327e-05
56,711.252,0.6195,0.39208,1.01428,0.93787,0.86407,0.93067,0.77741,0.80933,0.46342,1.15474,7.2775e-05,7.2775e-05,7.2775e-05
57,723.956,0.63064,0.38613,1.01367,0.90541,0.8935,0.93481,0.78478,0.81057,0.47778,1.14767,7.228e-05,7.228e-05,7.228e-05
