epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8949,1.21079,2.23702,1.44357,0.71336,0.38664,0.46667,0.30661,1.13025,1.68133,1.35639,0.0669947,3.30383e-05,3.30383e-05
2,25.1239,1.01468,1.227,1.25963,0.78012,0.7029,0.77381,0.60166,0.88445,0.85981,1.18637,0.0336944,6.60431e-05,6.60431e-05
3,37.3479,0.94477,0.96936,1.18315,0.71395,0.81283,0.8049,0.62368,0.89477,0.74242,1.17945,0.000393703,9.87179e-05,9.87179e-05
4,49.5569,0.92579,0.92476,1.1772,0.75798,0.79091,0.83023,0.65731,0.8619,0.58476,1.16114,9.8515e-05,9.8515e-05,9.8515e-05
5,61.7931,0.91225,0.86078,1.1706,0.92565,0.70177,0.8451,0.67505,0.86685,0.57065,1.16826,9.802e-05,9.802e-05,9.802e-05
6,74.0349,0.89411,0.80048,1.16207,0.74943,0.83651,0.84627,0.67971,0.83659,0.56725,1.1444,9.7525e-05,9.7525e-05,9.7525e-05
7,86.3459,0.87287,0.76073,1.14005,0.80894,0.83763,0.86781,0.71261,0.83321,0.55002,1.13348,9.703e-05,9.703e-05,9.703e-05
8,98.6205,0.89118,0.75838,1.14749,0.82137,0.85855,0.89963,0.74604,0.82462,0.55136,1.1296,9.6535e-05,9.6535e-05,9.6535e-05
9,110.94,0.86512,0.71278,1.1382,0.82968,0.82068,0.90094,0.74208,0.84324,0.52109,1.14166,9.604e-05,9.604e-05,9.604e-05
10,123.205,0.86189,0.69559,1.13133,0.82852,0.91657,0.94599,0.77237,0.82766,0.49217,1.13459,9.5545e-05,9.5545e-05,9.5545e-05
11,135.513,0.84184,0.66541,1.13129,0.81143,0.8949,0.9087,0.73736,0.84631,0.55116,1.15167,9.505e-05,9.505e-05,9.505e-05
12,147.783,0.8488,0.68842,1.13189,0.93841,0.89795,0.96702,0.8062,0.79752,0.44991,1.10777,9.4555e-05,9.4555e-05,9.4555e-05
13,160.093,0.81893,0.63741,1.11062,0.93215,0.89156,0.94455,0.79016,0.80849,0.45852,1.12251,9.406e-05,9.406e-05,9.406e-05
14,172.375,0.84741,0.62254,1.13281,0.90417,0.89567,0.95289,0.78763,0.81528,0.47692,1.13179,9.3565e-05,9.3565e-05,9.3565e-05
15,184.663,0.84686,0.63058,1.11869,0.95958,0.88024,0.9568,0.79925,0.78805,0.44835,1.10888,9.307e-05,9.307e-05,9.307e-05
16,197.029,0.85268,0.62183,1.13337,0.91411,0.89789,0.93943,0.78135,0.81904,0.46699,1.13385,9.2575e-05,9.2575e-05,9.2575e-05
17,209.286,0.82218,0.58281,1.10416,0.93631,0.90297,0.95913,0.80783,0.80059,0.42419,1.12299,9.208e-05,9.208e-05,9.208e-05
18,221.588,0.83494,0.57836,1.11563,0.94603,0.8903,0.95723,0.8015,0.80357,0.45239,1.10996,9.1585e-05,9.1585e-05,9.1585e-05
19,233.851,0.76809,0.52402,1.07526,0.93481,0.90051,0.95236,0.78556,0.81516,0.44581,1.12414,9.109e-05,9.109e-05,9.109e-05
20,246.132,0.77172,0.53868,1.08359,0.94874,0.89468,0.96255,0.80754,0.79275,0.42038,1.1251,9.0595e-05,9.0595e-05,9.0595e-05
21,258.406,0.79551,0.57106,1.09148,0.9199,0.88233,0.94959,0.77676,0.83898,0.45716,1.13605,9.01e-05,9.01e-05,9.01e-05
22,270.695,0.79861,0.56119,1.09441,0.9339,0.90457,0.94089,0.77568,0.82093,0.46001,1.1203,8.9605e-05,8.9605e-05,8.9605e-05
23,282.985,0.78231,0.53411,1.0854,0.93662,0.87464,0.9578,0.79636,0.7999,0.44518,1.11886,8.911e-05,8.911e-05,8.911e-05
24,295.297,0.79388,0.52713,1.08828,0.8932,0.94023,0.95468,0.79643,0.80709,0.44308,1.12934,8.8615e-05,8.8615e-05,8.8615e-05
25,307.636,0.7913,0.52623,1.09994,0.92265,0.91634,0.95338,0.80159,0.81947,0.44529,1.12685,8.812e-05,8.812e-05,8.812e-05
26,319.912,0.78121,0.539,1.08418,0.9442,0.88477,0.94887,0.7868,0.80622,0.43435,1.11448,8.7625e-05,8.7625e-05,8.7625e-05
27,332.218,0.75786,0.50255,1.07844,0.94107,0.87549,0.95038,0.78759,0.82014,0.4447,1.12035,8.713e-05,8.713e-05,8.713e-05
28,344.49,0.77359,0.49993,1.08529,0.94763,0.87871,0.93883,0.77493,0.82479,0.44586,1.12944,8.6635e-05,8.6635e-05,8.6635e-05
29,356.758,0.74695,0.49828,1.06646,0.94694,0.87738,0.94419,0.79931,0.78118,0.442,1.10872,8.614e-05,8.614e-05,8.614e-05
30,369.037,0.75426,0.4815,1.06648,0.95271,0.88475,0.94793,0.79868,0.79843,0.44237,1.12113,8.5645e-05,8.5645e-05,8.5645e-05
31,381.342,0.76484,0.49371,1.06728,0.92273,0.89541,0.93352,0.78034,0.81367,0.44808,1.12546,8.515e-05,8.515e-05,8.515e-05
32,393.642,0.75809,0.50454,1.08131,0.94109,0.88904,0.95102,0.80313,0.79386,0.44059,1.1266,8.4655e-05,8.4655e-05,8.4655e-05
33,405.902,0.74687,0.47935,1.06194,0.87323,0.88922,0.94129,0.79323,0.80054,0.43665,1.12763,8.416e-05,8.416e-05,8.416e-05
34,418.189,0.7431,0.49071,1.06449,0.90164,0.90855,0.95529,0.80944,0.79773,0.43916,1.12556,8.3665e-05,8.3665e-05,8.3665e-05
35,430.602,0.74663,0.48494,1.06237,0.91824,0.90288,0.94861,0.79721,0.81885,0.42983,1.13654,8.317e-05,8.317e-05,8.317e-05
36,442.926,0.71545,0.46411,1.04883,0.88569,0.90901,0.93525,0.79691,0.80512,0.42584,1.12263,8.2675e-05,8.2675e-05,8.2675e-05
37,455.228,0.74579,0.45962,1.06644,0.93558,0.89866,0.94402,0.77888,0.83179,0.45088,1.1478,8.218e-05,8.218e-05,8.218e-05
38,467.532,0.71085,0.44208,1.04878,0.91469,0.88427,0.93263,0.78668,0.80628,0.43114,1.13411,8.1685e-05,8.1685e-05,8.1685e-05
39,479.844,0.73371,0.45974,1.07367,0.9662,0.86019,0.94126,0.79539,0.8096,0.4332,1.13981,8.119e-05,8.119e-05,8.119e-05
40,492.14,0.69893,0.44606,1.03869,0.91517,0.89744,0.95035,0.79606,0.79169,0.4465,1.11633,8.0695e-05,8.0695e-05,8.0695e-05
41,504.43,0.72225,0.4559,1.05075,0.92654,0.8873,0.94973,0.80881,0.79121,0.42467,1.13138,8.02e-05,8.02e-05,8.02e-05
42,516.712,0.71382,0.45643,1.04941,0.92631,0.86002,0.92515,0.7698,0.84198,0.46159,1.17698,7.9705e-05,7.9705e-05,7.9705e-05
43,529.017,0.70176,0.45373,1.04714,0.9028,0.91084,0.95465,0.8048,0.81001,0.42878,1.1377,7.921e-05,7.921e-05,7.921e-05
44,541.307,0.70759,0.43526,1.03453,0.95576,0.8666,0.94318,0.79525,0.80257,0.43296,1.15183,7.8715e-05,7.8715e-05,7.8715e-05
45,553.684,0.68882,0.4346,1.03102,0.91462,0.89655,0.94011,0.78114,0.85844,0.4404,1.17798,7.822e-05,7.822e-05,7.822e-05
46,565.963,0.70512,0.43109,1.04396,0.95475,0.87447,0.94666,0.80722,0.80528,0.42328,1.14028,7.7725e-05,7.7725e-05,7.7725e-05
47,578.26,0.68756,0.43358,1.03582,0.94735,0.89137,0.96028,0.81333,0.809,0.41139,1.15264,7.723e-05,7.723e-05,7.723e-05
48,590.581,0.68031,0.42004,1.03575,0.93492,0.88813,0.93981,0.78914,0.83654,0.43161,1.16469,7.6735e-05,7.6735e-05,7.6735e-05
49,602.861,0.68401,0.40517,1.02802,0.95497,0.86269,0.92968,0.78083,0.82072,0.44389,1.16394,7.624e-05,7.624e-05,7.624e-05
50,615.14,0.66608,0.39614,1.02829,0.94907,0.88036,0.94717,0.79069,0.83128,0.43011,1.16018,7.5745e-05,7.5745e-05,7.5745e-05
51,627.427,0.68559,0.41508,1.03623,0.94229,0.89981,0.9567,0.80511,0.81158,0.41706,1.14975,7.525e-05,7.525e-05,7.525e-05
52,639.737,0.6588,0.41286,1.02258,0.95557,0.91236,0.94403,0.79565,0.83378,0.4352,1.17021,7.4755e-05,7.4755e-05,7.4755e-05
53,652.022,0.65847,0.4082,1.02816,0.9342,0.89787,0.94752,0.79576,0.84026,0.44608,1.19812,7.426e-05,7.426e-05,7.426e-05
54,664.315,0.66476,0.4013,1.03938,0.92568,0.89859,0.94325,0.77934,0.8365,0.44572,1.15702,7.3765e-05,7.3765e-05,7.3765e-05
55,676.651,0.6485,0.4071,1.02291,0.94522,0.89167,0.95197,0.79909,0.82938,0.43,1.16141,7.327e-05,7.327e-05,7.327e-05
