epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,516.517,0.86165,0.58475,1.11866,0.92604,0.85672,0.92694,0.76392,0.84461,0.48943,1.15612,0.000885523,0.000885523,0.000885523
43,528.805,0.8463,0.59742,1.11319,0.93459,0.8775,0.94897,0.79747,0.7907,0.45042,1.10413,0.000880023,0.000880023,0.000880023
44,541.16,0.85846,0.59733,1.10502,0.89703,0.9175,0.93325,0.77221,0.82216,0.4845,1.13198,0.000874524,0.000874524,0.000874524
45,553.571,0.85063,0.5868,1.09863,0.94306,0.88871,0.95643,0.77876,0.82714,0.46744,1.14032,0.000869024,0.000869024,0.000869024
46,565.876,0.83437,0.5738,1.10069,0.94901,0.89959,0.95489,0.77956,0.86368,0.46095,1.16882,0.000863525,0.000863525,0.000863525
47,578.175,0.83672,0.56248,1.10565,0.91816,0.87079,0.95087,0.78473,0.82876,0.49845,1.14678,0.000858025,0.000858025,0.000858025
48,590.452,0.85312,0.56426,1.11005,0.9517,0.85621,0.94754,0.7816,0.84446,0.4738,1.15143,0.000852526,0.000852526,0.000852526
49,602.755,0.8309,0.5309,1.09097,0.9589,0.86027,0.94664,0.78436,0.80353,0.46941,1.12645,0.000847026,0.000847026,0.000847026
50,615.057,0.80555,0.51678,1.08281,0.95523,0.9054,0.94406,0.78849,0.81826,0.46082,1.14088,0.000841527,0.000841527,0.000841527
51,627.353,0.83416,0.56631,1.10373,0.94636,0.87141,0.93549,0.76767,0.81816,0.4706,1.13189,0.000836027,0.000836027,0.000836027
52,639.66,0.80299,0.54272,1.09675,0.92089,0.89486,0.95225,0.79583,0.79605,0.45092,1.11711,0.000830528,0.000830528,0.000830528
53,652.042,0.8175,0.54914,1.0952,0.96041,0.88254,0.94978,0.7838,0.81038,0.46717,1.13218,0.000825029,0.000825029,0.000825029
54,664.412,0.82591,0.56988,1.10121,0.88405,0.92991,0.95157,0.78299,0.82795,0.45944,1.13297,0.000819529,0.000819529,0.000819529
55,676.733,0.8038,0.55843,1.08834,0.94265,0.87657,0.94965,0.79143,0.80775,0.45044,1.13688,0.00081403,0.00081403,0.00081403
56,689.032,0.818,0.57178,1.10708,0.90401,0.90773,0.95855,0.78492,0.85303,0.44374,1.1576,0.00080853,0.00080853,0.00080853
57,701.303,0.80418,0.53409,1.09416,0.96093,0.8984,0.94334,0.79303,0.82021,0.44893,1.13139,0.000803031,0.000803031,0.000803031
