epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1755,1.29275,2.81331,1.50365,0.67413,0.51214,0.55085,0.38914,1.01037,1.50893,1.30236,0.000363836,0.000363836,0.000363836
2,27.0085,1.12441,1.38543,1.3098,0.8363,0.43873,0.62327,0.39668,1.15571,1.83424,1.51051,0.000719633,0.000719633,0.000719633
3,39.7501,1.06096,1.229,1.24026,0.72608,0.45455,0.44198,0.29783,1.14744,5.09553,1.52211,0.00106076,0.00106076,0.00106076
4,52.4537,1.07004,1.14353,1.26622,0.87008,0.51181,0.65499,0.48452,1.03313,1.15593,1.32177,0.00104501,0.00104501,0.00104501
5,65.213,1.08329,1.06932,1.25567,0.488,0.66177,0.65409,0.44984,1.2298,1.40172,1.54713,0.00102301,0.00102301,0.00102301
6,77.9651,1.08218,1.00567,1.2586,0.56271,0.70458,0.64613,0.44997,1.06553,1.21088,1.33982,0.00100101,0.00100101,0.00100101
7,90.7337,1.00104,0.95378,1.20032,0.79863,0.69942,0.73881,0.56152,0.92439,0.76335,1.21509,0.000979013,0.000979013,0.000979013
8,103.532,1.03863,0.91337,1.22189,0.76718,0.74119,0.7782,0.59507,0.98359,0.8115,1.27097,0.000957015,0.000957015,0.000957015
9,116.323,1.00035,0.86466,1.19845,0.6516,0.80863,0.7641,0.58433,0.95848,0.96886,1.26099,0.000935018,0.000935018,0.000935018
10,129.083,0.96799,0.86045,1.18555,0.63251,0.81475,0.82632,0.63243,0.98685,0.73425,1.2864,0.00091302,0.00091302,0.00091302
11,141.948,0.97659,0.81207,1.19449,0.63606,0.80786,0.81872,0.62379,0.93652,0.70496,1.22324,0.000891022,0.000891022,0.000891022
12,154.739,0.94319,0.77279,1.16286,0.80356,0.80737,0.86526,0.69366,0.87631,0.64071,1.18633,0.000869024,0.000869024,0.000869024
13,167.636,0.9292,0.80386,1.14983,0.80954,0.80408,0.87524,0.67507,0.92212,0.6788,1.21336,0.000847026,0.000847026,0.000847026
14,180.424,0.92887,0.76518,1.15614,0.90822,0.78883,0.91901,0.73925,0.85602,0.61637,1.16555,0.000825029,0.000825029,0.000825029
15,193.26,0.93711,0.7478,1.16207,0.71758,0.76905,0.82237,0.63416,0.92018,0.66554,1.1928,0.000803031,0.000803031,0.000803031
16,206.046,0.9151,0.72122,1.15183,0.78167,0.85226,0.88679,0.70288,0.86524,0.58611,1.16866,0.000781033,0.000781033,0.000781033
17,218.849,0.90726,0.69911,1.15125,0.89437,0.84835,0.94973,0.75749,0.83441,0.68164,1.14489,0.000759035,0.000759035,0.000759035
